hvdc_code,shipment_invoice_no,vendor,coe,pol,pod,vessel,hs_code,currency,price
HVDC-ADOPT-HE-0256,,HITACHI,SWEDEN,Gothenburg,Khalifa port,MATZ MAERSK,85321000,SEK,233661.5
HVDC-ADOPT-HE-0257,,HITACHI,SWEDEN,Gothenburg,Khalifa port,MATZ MAERSK,85321000,SEK,233661.5
HVDC-ADOPT-HE-0258,,HITACHI,India,Nhava Sheva,Khalifa port,SSF Dream,85045000,SEK,139400.6
HVDC-ADOPT-HE-0259,,HITACHI,India,Nhava Sheva,Khalifa port,SSF Dream,85045000,SEK,124044.1
HVDC-ADOPT-HE-0260,,HITACHI,India,Nhava Sheva,Khalifa port,SSF Dream,85045000,SEK,139400.6
HVDC-ADOPT-HE-0261,,HITACHI,India,Nhava Sheva,Khalifa port,SSF Dream,85045000,SEK,124044.1
HVDC-ADOPT-HE-0262,,HITACHI,India,Nhava Sheva,Khalifa port,SSF Dream,85045000,SEK,101605.4
HVDC-ADOPT-HE-0263,,HITACHI,India,Nhava Sheva,Khalifa port,SSF Dream,85045000,SEK,87511.04
HVDC-ADOPT-HE-0264,,HITACHI,SWEDEN,Denmark,Abu Dhabi Airport,EY,84198910,SEK,673158.6
HVDC-ADOPT-HE-0265,,HITACHI,United Kingdom,Felixstowe,Khalifa port,ALEXANDRA MAERSK,90011090,SEK,263248.8
HVDC-ADOPT-HE-0266,,HITACHI,United Kingdom,Felixstowe,Khalifa port,ALEXANDRA MAERSK,90011090,SEK,233119.9
HVDC-ADOPT-HE-0267,,HITACHI,Denmark,Billund,Abu Dhabi Airport,EY1934,8419 89 10,SEK,530298.2
HVDC-ADOPT-HE-0268,,HITACHI,CHINA,Shanghai,Khalifa port,MSC GAIA,85321000,SEK,285379.2
HVDC-ADOPT-HE-0269,,HITACHI,CHINA,Shanghai,Khalifa port,MSC GAIA,85321000,SEK,42197.76
HVDC-ADOPT-HE-0270,,HITACHI,CHINA,Shanghai,Khalifa port,MSC GAIA,85321000,SEK,286986.2
HVDC-ADOPT-HE-0271,,HITACHI,CHINA,Shanghai,Khalifa port,MSC GAIA,85321000,SEK,42197.76
HVDC-ADOPT-HE-0272,,HITACHI,CHINA,Shanghai,Khalifa port,MSC GAIA,85321000,SEK,291794.4
HVDC-ADOPT-HE-0273,,HITACHI,CHINA,Shanghai,Khalifa port,MSC GAIA,85321000,SEK,42197.76
HVDC-ADOPT-HE-0274,,HITACHI,CHINA,Shanghai,Khalifa port,MSC GAIA,85321000,SEK,138753.0
HVDC-ADOPT-HE-0275,,HITACHI,CHINA,Shanghai,Khalifa port,MSC GAIA,85321000,SEK,21131.28
HVDC-ADOPT-HE-0276,,HITACHI,BELGIUM,Antwerp,Khalifa port,Maersk Hamburg,85332900,SEK,117508.8
HVDC-ADOPT-HE-0277,,HITACHI,BELGIUM,Antwerp,Khalifa port,Maersk Hamburg,85332900,SEK,35439.17
HVDC-ADOPT-HE-0278,,HITACHI,BELGIUM,Antwerp,Khalifa port,Maersk Hamburg,85332900,SEK,362330.6
HVDC-ADOPT-HE-0279,,HITACHI,BELGIUM,Antwerp,Khalifa port,Maersk Hamburg,85332900,SEK,362330.6
HVDC-ADOPT-HE-0280,,HITACHI,BELGIUM,Antwerp,Khalifa port,Maersk Hamburg,85332900,SEK,103156.8
HVDC-ADOPT-HE-0281,,HITACHI,BELGIUM,Antwerp,Khalifa port,Maersk Hamburg,85332900,SEK,103156.8
HVDC-ADOPT-HE-0282,,HITACHI,BELGIUM,Antwerp,Khalifa port,Maersk Hamburg,85332900,SEK,387175.0
HVDC-ADOPT-HE-0283,,HITACHI,BELGIUM,Antwerp,Khalifa port,Maersk Hamburg,85332900,SEK,387175.0
HVDC-ADOPT-HE-0284,,HITACHI,BELGIUM,Antwerp,Khalifa port,Maersk Hamburg,85332900,SEK,387175.0
HVDC-ADOPT-HE-0285,,HITACHI,BELGIUM,Antwerp,Khalifa port,Maersk Hamburg,85332900,SEK,387175.0
HVDC-ADOPT-HE-0286,,HITACHI,BELGIUM,Antwerp,Khalifa port,Maersk Hamburg,85332900,SEK,93951.66
HVDC-ADOPT-HE-0287,,HITACHI,BELGIUM,Antwerp,Khalifa port,Maersk Hamburg,85332900,SEK,93951.66
HVDC-ADOPT-HE-0288,,HITACHI,SWEDEN,Gothenburg,Khalifa port,CMA CGM AGUILA,85321000,SEK,285379.2
HVDC-ADOPT-HE-0289,,HITACHI,SWEDEN,Gothenburg,Khalifa port,CMA CGM AGUILA,85321000,SEK,17949.6
HVDC-ADOPT-HE-0290,,HITACHI,United Kingdom,England,Abu Dhabi Airport,EY0064,90011090,SEK,283770.3
HVDC-ADOPT-HE-0291,,HITACHI,SWEDEN,Gothenburg,Khalifa port,Maersk Cincinnati,85469090,SEK,121921.7
HVDC-ADOPT-HE-0292,,HITACHI,SWEDEN,Gothenburg,Khalifa port,ANE MAERSK,84198910,SEK,519218.1
HVDC-ADOPT-HE-0293,,HITACHI,SWEDEN,Gothenburg,Khalifa port,MAERSK HERRERA,76149000,SEK,68886.89
HVDC-ADOPT-HE-0294,,HITACHI,SWEDEN,Gothenburg,Khalifa port,MAERSK HERRERA,76149000,SEK,61352.39
HVDC-ADOPT-HE-0295,,HITACHI,SWEDEN,Gothenburg,Khalifa port,MAERSK HERRERA,76149000,SEK,69102.17
HVDC-ADOPT-HE-0296,,HITACHI,SWEDEN,Gothenburg,Khalifa port,CSCL NEPTUNE,85321000,SEK,69376.5
HVDC-ADOPT-HE-0297,,HITACHI,SWEDEN,Gothenburg,Khalifa port,CSCL NEPTUNE,85321000,SEK,30974.4
HVDC-ADOPT-HE-0298,,HITACHI,SWEDEN,Gothenburg,Khalifa port,ANE MAERSK,90258040,SEK,103386.4
HVDC-ADOPT-HE-0299,,HITACHI,SWEDEN,Gothenburg,Khalifa port,ANE MAERSK,90258040,SEK,103386.4
HVDC-ADOPT-HE-0300,,HITACHI,SWEDEN,Gothenburg,Khalifa port,ANE MAERSK,90258040,SEK,206772.9
